pair,estimate,statistic,p.value,adj.p.BH,parameter,conf.low,conf.high,method,alternative
ELDg168 vs. sigF,0.21181379256288077,13.760311787687517,3.9033431940707885e-42,1.0408915184188769e-041,4031,0.1821401506876697,0.24110197140990647,Pearson's product-moment correlation,two.sided
ELDg169 vs. sigF,0.7686328278330494,76.28789258626844,0,0,4031,0.7556961090614432,0.780969965349156,Pearson's product-moment correlation,two.sided
Goe3 vs. sigF,0.13062461181003412,8.365049663521672,8.182532375878332e-17,8.182532375878332e-17,4031,0.10016405453436257,0.16084054283613625,Pearson's product-moment correlation,two.sided
SP10 vs. sigF,0.17470253775185693,11.265135097920025,5.269028644414371e-29,8.430445831062994e-29,4031,0.14461794667815844,0.20446443142563256,Pearson's product-moment correlation,two.sided
ELDg168 vs. sigG,0.15994892791611384,10.287632776771819,1.6064737471746632e-24,1.8359699967710437e-24,4031,0.12972496088313373,0.18987594607365207,Pearson's product-moment correlation,two.sided
ELDg169 vs. sigG,0.7231578848493008,66.47539241743934,0,0,4031,0.7080981256790573,0.7375600589056954,Pearson's product-moment correlation,two.sided
Goe3 vs. sigG,0.16317462844822017,10.500721776597699,1.8220421357691238e-25,2.429389514358832e-25,4031,0.1329799698868974,0.19306667328799876,Pearson's product-moment correlation,two.sided
SP10 vs. sigG,0.20390853587231877,13.224022358675118,4.115008608761519e-39,8.230017217523038e-39,4031,0.17414010508553165,0.23330461415570153,Pearson's product-moment correlation,two.sided
